,0
0,1380.692474784813
1,1286.022628093836
2,1192.0084843935488
3,1098.974011919302
4,1007.3272216201526
5,917.5579357009733
6,830.2179956526654
7,745.9005615893477
8,665.2031151637668
9,588.6983418257307
10,516.8924329262097
11,450.20236106893077
12,388.9328734179343
13,333.2587592618595
14,283.2291541209436
15,238.7576869358073
16,199.6606280161652
17,165.64924828380956
18,136.3684384753638
19,111.42347539597426
20,90.37037920094487
21,72.77330581185663
22,58.19974116400501
23,46.23386516419563
24,36.49151607821251
25,28.624163625147872
26,22.320233485225653
27,17.304739887844544
28,13.342293671289132
29,10.233698539661315
30,7.810200422999839
31,5.931634731919174
32,4.483992502421444
33,3.3753018680424662
34,2.5299889518567893
35,1.8887064985239987
36,1.4048314582374757
37,1.0411356377892085
38,0.7687629602889599
39,0.5659878853360836
40,0.4153235875180686
41,0.303837556674818
42,0.22166813696807927
43,0.16130120029999293
44,0.11707996085409492
45,0.08478933193432729
46,0.06126214045338844
47,0.044158035657007294
48,0.031773293765847345
49,0.022813633413360113
50,0.01635461351626183
