,0
0,4286.121488134621
1,4359.428101947392
2,4370.283564116467
3,4359.316945185797
4,4323.7070268709085
5,4317.857410869863
6,4357.676634828806
7,4355.079381913839
8,4347.378450129457
9,4322.131569126103
10,4278.17643683813
11,4319.501242226183
12,4382.088810844825
13,4371.866747857552
14,4450.29292272486
15,4520.594829221458
16,4522.7607100161285
17,4529.837393011942
18,4527.167638468656
19,4498.396933522584
20,4528.575997896029
21,4527.093541450825
22,4561.447729116678
23,4560.978532770734
24,4559.658930411725
25,4596.465483656092
26,4627.986266771519
27,4671.055830101653
28,4704.0031294980145
29,4685.079316981762
30,4672.229168336767
31,4719.422134823643
32,4784.966999370948
33,4822.426785221503
34,4802.7748746965635
35,4810.249313367277
36,4833.330357246895
37,4916.6737409667385
38,4885.343342238486
39,4926.96800587155
40,4943.749633041132
41,4867.6875275408365
42,4737.700198778242
43,4757.733508548782
44,4755.898215499846
45,4802.091304339656
46,4744.750162679241
47,4816.722900072489
48,4826.084204872238
49,4785.399636736039
50,4788.733064716529
51,4791.81228934146
52,4757.877035826197
53,4691.089134592667
54,4727.628965721788
55,4639.663774623023
56,4648.148291890994
57,4645.264794154235
58,4633.303609646081
59,4688.8407498884135
60,4639.5848729694935
61,4650.456231207212
62,4695.736093305149
63,4751.913758768665
64,4814.778937208017
65,4771.201282220642
66,4838.959218663542
67,4894.991735749574
68,4877.730807262703
69,4852.106952348425
70,4943.939517510759
71,4814.898862352755
72,4825.756899330476
73,4887.873483035536
74,4908.691136693869
75,4889.596813503709
76,4886.330604838209
77,4981.433244273614
78,4992.314879995082
79,4957.050091126061
80,4963.414867218476
81,4981.094140596384
82,4965.95118430687
83,4912.028988844899
84,4896.2136236824945
85,4965.5735276445885
86,5023.009267659632
87,4951.113984770174
88,4979.089937756356
89,5054.924118179887
90,5064.061997907118
91,4998.4671547891085
92,4966.084621107997
93,4950.767455703758
94,5054.836245390419
95,5044.378940028188
96,5041.5918960735335
97,5039.441181197735
98,4996.488077139263
99,5060.342094285853
100,4988.898256519065
101,4921.39637174174
102,4963.662040754393
103,4914.450761704797
104,4902.848055268812
105,4917.693672768219
106,4960.416081979747
107,5038.843749183376
108,4995.630687584201
109,4987.459944356739
110,5099.527321186774
111,5047.211237461172
112,5057.600389566217
113,5116.663891832221
114,5076.155736634131
115,5116.258503166762
116,5080.992260433092
117,5113.444388708393
118,5084.048336756137
119,5021.932965706554
120,5018.029303643939
121,4989.149658233206
122,4920.958325422795
123,4896.862817683142
124,4885.439487213197
125,4982.109049078468
126,5066.246309688728
127,4975.396120892992
128,4888.247156653318
129,4912.24311661466
130,4894.1969665455645
131,4916.964137095755
132,4959.457841880149
133,4971.022132022185
134,5011.651559516726
135,4911.210312249171
136,4903.292722854799
137,4795.662408837931
138,4745.802396808197
139,4737.874288672637
140,4749.549962568834
141,4736.9718493123255
142,4661.421083100394
143,4678.104991164804
144,4707.24230966491
145,4706.7589756325715
146,4677.395423339147
147,4706.037024204929
148,4753.067626562809
149,4793.724617982987
150,4805.789328115576
151,4784.945529243761
152,4782.773386392505
153,4796.819131021299
154,4833.637055194408
155,4867.786729032197
156,4884.137579698421
157,4801.550083967479
158,4750.5042798684535
159,4764.282993653709
160,4742.262226270354
161,4832.887284681008
162,4947.609143373613
163,5039.624758309381
164,5054.949774283705
165,5008.37667458523
166,5059.781219670335
167,5010.187404239085
168,5084.6527390844185
169,5133.440844502904
170,5080.748668537876
171,4978.058277718222
172,4989.112020595596
173,4987.152468287074
174,4980.164155644338
175,5037.486866646833
176,5061.192607556819
177,5128.070742274409
178,5078.380052065321
179,5031.336001458304
180,5045.407362221862
181,5089.33346925302
182,5141.184833090392
183,5129.232825826333
184,5132.985771663746
185,5126.9168539064685
186,5230.68604663906
187,5212.5792605551915
188,5212.12564003788
189,5245.175284758286
190,5236.847021636814
191,5247.117107869064
192,5285.315010107831
193,5208.336675262459
194,5295.096711868222
195,5253.893680643135
196,5329.015736910666
197,5333.256118448231
198,5237.055496648997
199,5254.444012656164
200,5266.120305261518
201,5290.969007598669
202,5304.257724992032
203,5351.948187862354
204,5406.919991301966
205,5405.463232970733
206,5379.770253598135
207,5390.206844120715
208,5437.760868864953
209,5481.855231423268
210,5597.661427942085
211,5580.314467330734
212,5378.720243949928
213,5460.010795559634
214,5588.786047859847
215,5581.470942916813
216,5634.783118045763
217,5617.825158591422
218,5643.3825156304365
219,5697.562738578531
220,5603.4174447979385
221,5586.0612055129395
222,5621.290741667553
223,5604.65227370806
224,5632.532643602278
225,5661.936570338263
226,5787.584936462006
227,5750.497636630768
228,5834.659798020335
229,5742.318169909949
230,5721.445290126835
231,5880.824727686628
232,5814.089277634854
233,5775.079774423758
234,5759.221165284116
235,5645.267319270854
236,5656.60661070407
237,5503.085003329142
238,5502.00376517316
239,5532.472597130714
240,5494.713600372398
241,5525.55336824432
242,5560.793318252511
243,5605.276946980699
244,5574.301179339483
245,5541.853584732314
246,5587.780885829239
247,5587.99236740333
248,5614.007826330356
249,5568.296855813662
